Machine_ID,Temprature,Run_Time,Downtime_Flag
M14860,298.1,324,0
L47181,298.2,214,0
L47182,298.1,318,0
L47183,298.2,376,0
L47184,298.2,208,0
M14865,298.1,242,0
L47186,298.1,278,0
L47187,298.1,289,0
M14868,298.3,150,0
M14869,298.5,480,0
H29424,298.4,279,0
H29425,298.6,401,0
M14872,298.6,497,0
M14873,298.6,369,0
L47194,298.6,225,0
L47195,298.6,186,0
M14876,298.6,227,0
M14877,298.7,236,0
H29432,298.8,442,0
M14879,298.9,377,0
H29434,298.9,432,0
L47201,298.8,338,0
M14882,298.9,360,0
L47203,299,330,0
M14884,299,142,0
L47205,299,250,0
L47206,299.1,261,0
H29441,299.1,159,0
L47208,299.1,350,0
L47209,299,225,0
M14890,299.1,404,0
L47211,299,216,0
L47212,299,209,0
L47213,298.9,401,0
M14894,298.8,203,0
M14895,298.8,237,0
M14896,298.9,358,0
L47217,298.8,314,0
H29452,298.9,109,0
L47219,298.8,203,0
L47220,298.8,381,0
L47221,298.8,362,0
M14902,298.8,454,0
H29457,298.8,367,0
M14904,298.8,227,0
L47225,298.8,414,0
M14906,298.7,488,0
L47227,298.8,132,0
H29462,298.8,328,0
M14909,298.9,284,0
L47230,298.9,269,1
L47231,298.9,276,0
H29466,298.8,220,0
L47233,298.7,425,0
L47234,298.7,254,0
L47235,298.8,344,0
L47236,298.8,298,0
L47237,298.8,151,0
M14918,298.8,143,0
L47239,298.8,149,0
L47240,298.8,247,0
M14921,298.8,424,0
L47242,298.8,411,0
M14923,298.9,135,0
L47244,299,243,0
L47245,299,276,0
M14926,298.9,285,0
H29481,298.8,286,0
L47248,298.8,192,0
L47249,298.9,100,1
M14930,298.9,338,0
L47251,298.9,115,0
L47252,298.9,113,0
L47253,299,357,0
L47254,298.9,337,0
L47255,298.8,371,0
L47256,298.8,161,0
L47257,298.8,339,1
L47258,298.8,220,0
L47259,298.8,327,0
H29494,298.8,439,0
L47261,298.9,447,0
L47262,298.9,437,0
L47263,299,395,0
L47264,298.9,171,0
M14945,299,239,0
H29500,299,310,0
L47267,299,454,0
M14948,299,239,0
M14949,298.9,466,0
L47270,298.9,173,0
L47271,298.9,457,0
M14952,298.9,430,0
L47273,299.1,455,0
L47274,299,454,0
M14955,299,159,0
M14956,299,167,0
M14957,298.9,249,0
L47278,298.9,100,0
L47279,298.8,492,0
L47280,298.8,295,0
L47281,298.8,266,0
L47282,298.8,383,0
M14963,298.8,133,0
L47284,298.8,251,0
L47285,298.8,152,0
L47286,298.8,208,0
M14967,298.8,173,0
H29522,298.9,421,0
L47289,298.9,337,0
L47290,298.8,253,0
H29525,298.7,376,0
M14972,298.8,269,0
M14973,298.8,174,0
L47294,298.8,173,0
L47295,298.8,162,0
L47296,298.9,441,0
L47297,298.8,450,0
M14978,298.8,126,0
L47299,298.7,244,0
L47300,298.9,430,0
L47301,298.9,284,0
L47302,299,289,0
L47303,298.9,474,0
L47304,298.9,407,0
L47305,298.9,147,0
L47306,299,312,0
L47307,298.9,456,0
L47308,299,307,0
L47309,298.9,101,0
L47310,298.8,121,0
L47311,298.8,297,0
M14992,298.7,459,0
M14993,298.7,140,0
L47314,298.8,193,0
M14995,298.8,331,0
H29550,298.7,238,0
L47317,298.7,277,0
H29552,298.8,313,0
L47319,298.8,252,0
L47320,298.8,133,0
L47321,298.7,220,0
M15002,298.6,253,0
H29557,298.6,368,0
M15004,298.6,119,0
L47325,298.5,324,0
H29560,298.5,466,0
L47327,298.4,109,0
M15008,298.3,216,0
L47329,298.4,446,0
L47330,298.4,212,0
M15011,298.4,210,0
M15012,298.4,327,0
L47333,298.4,488,0
L47334,298.4,471,0
H29569,298.4,395,0
M15016,298.4,420,0
H29571,298.4,454,0
